time,place,mag,depth,longitude,latitude,type,id,url
2024-03-13 23:05:04.208,"109 km WNW of Puerto, Chile",4.6,8.933,-71.0479,-19.7072,earthquake,us6000miqh,https://earthquake.usgs.gov/earthquakes/eventpage/us6000miqh
2024-03-13 22:10:34.219,"128 km WNW of Puerto, Chile",5.0,20.044,-71.2587,-19.7124,earthquake,us6000miqd,https://earthquake.usgs.gov/earthquakes/eventpage/us6000miqd
2024-03-13 22:10:23.091,"104 km WNW of Puerto, Chile",4.8,19.859,-71.0084,-19.72,earthquake,us6000miq9,https://earthquake.usgs.gov/earthquakes/eventpage/us6000miq9
2024-03-13 21:12:10.863,South Sandwich Islands region,4.5,36.616,-27.76,-55.5447,earthquake,us6000mjtc,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjtc
2024-03-13 20:06:34.414,western Indian-Antarctic Ridge,5.5,10.0,125.8833,-49.6592,earthquake,us6000mipe,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mipe
2024-03-13 19:06:06.206,"109 km SE of Modisi, Indonesia",5.0,42.886,125.2292,-0.1274,earthquake,us6000minz,https://earthquake.usgs.gov/earthquakes/eventpage/us6000minz
2024-03-13 18:56:14.833,"111 km SE of Modisi, Indonesia",5.7,39.0,125.2455,-0.1457,earthquake,us6000minw,https://earthquake.usgs.gov/earthquakes/eventpage/us6000minw
2024-03-13 18:29:32.505,"240 km SSE of Sarangani, Philippines",4.5,49.974,126.6472,3.584,earthquake,us6000mjt4,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjt4
2024-03-13 17:40:25.311,"6 km WSW of Buenavista, Philippines",4.5,59.826,126.1078,9.08,earthquake,us6000mjt7,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjt7
2024-03-13 16:39:21.786,Banda Sea,5.0,169.876,129.8569,-6.5577,earthquake,us6000mimk,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mimk
2024-03-13 15:25:51.506,"17 km ENE of Malita, Philippines",4.6,151.622,125.7493,6.4958,earthquake,us6000mjt0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjt0
2024-03-13 15:24:11.785,"46 km SE of Farkhār, Afghanistan",4.9,133.299,70.21,36.2706,earthquake,us6000milk,https://earthquake.usgs.gov/earthquakes/eventpage/us6000milk
2024-03-13 15:13:22.779,"68 km ESE of Kimbe, Papua New Guinea",6.0,44.0,150.6843,-5.831,earthquake,us6000milg,https://earthquake.usgs.gov/earthquakes/eventpage/us6000milg
2024-03-13 13:01:59.899,northern Mid-Atlantic Ridge,4.6,10.0,-46.9064,16.9938,earthquake,us6000mjsy,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjsy
2024-03-13 11:24:42.107,"37 km E of Iwaki, Japan",4.6,48.32,141.3001,37.059,earthquake,us6000mikg,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mikg
